entwässern,排水する
zufrieden,満足して
teilzeit,パートタイムの
die Decke,天井
die Biologie,生物学
erforschen,探検する
die Leistung,出力
der Arzt,医師
bürsten,磨く
mischen,調合する
der Konflikt,対立
die Summe,合計
das Waschbecken,洗顔器
die Unterdrückung,抑圧
investieren,投資する
gegenseitig,相互の
schwören,誓う
illustrieren,描く
das Thermometer,温度計
die Wahrscheinlichkeit,可能性
aufgeben,放棄する
stur,頑固な
vorbereiten,準備する
wahrnehmen,認知する
ebenso,同様に
die Sahne,クリーム
das Grab,墓
rutschen,滑る
der Müll,がらくた
ausstellen,展示する
die Vereinbarung,合意
die Rechnung,請求書
das Kamel,ラクダ
untätig,暇な
das Budget,予算
die Spannung,緊張
der Index,索引
das Gewissen,良心
die Physik,物理学
der Affe,類人猿
die Betonung,強調
fördern,推進する
annehmen,想定する
ermahnen,思い出す
verderben,台無しにする
berechnen,計算する
rauben,奪う
die Verkaufsstelle,販売代理店
vernünftig,分別のある
reif,成熟した
bewerten,評価する
reiben,こする
behalten,保持する
alarmieren,警告する
bearbeiten,編集する
überschreiten,超過する
bemerken,述べる
verwittern,風化させる
der Namen,代わって
kompromittieren,妥協する
die Ekstase,有頂天
ernennen,指名する
unruhig,不安な
beruhigen,和らげる
konzipieren,考える
die Krähe,カラス
das Heilmittel,治療
erzeugen,生む
die Zusammensetzung,構成
verbieten,禁止する
lösen,解決する
beschämen,困惑させる
der Hass,憎しみ
getrennt,離れて
durcheinanderbringen,だめにする
aktuell,最新の
nuklear,核
das Moos,こけ
die Philosophie,哲学
ausgestorben,絶滅した
der Stecker,プラグ
die Meditation,瞑想
sichtbar,見える
die Währung,通貨
kaufen,購入する
der Bart,あごひげ
der Haushalt,世帯
die Frist,期限
starten,打ち上げる
berechnen,請求する
grimmig,険しい
die Aussicht,見込み
gespannt,張り詰めた
verdienen,値する
einsperren,閉じ込める
gehorsam,従順な
der Stängel,草木の茎
die Trümmer,がれき
unvermeidlich,避けられない
schließlich,最終的に
der Dinosaurier,恐竜
verschwinden,消える
das Ergebnis,結果
die Atmosphäre,雰囲気
der Konsens,合意
übertragen,移す
betreffen,影響する
zuweisen,任命する
die Kategorie,範疇
regieren,統治する
städtisch,都市の
charakteristisch,特徴的な
eifrig,熱心な
schaden,害する
erweitern,拡大する
einzigartig,独特の
montieren,組み立てる
der Muskel,筋肉
die Ergänzung,補足
wahnsinnig,狂気の
der Ärger,怒り
verletzen,違反する
anpassen,適応する
das Nilpferd,カバ
der Aspekt,側面
wiederherstellen,修復する
bestätigen,確認する
einbringen,生む
lindern,和らげる
die Zustimmung,同意
die Dankbarkeit,謝意
ändern,変える
die Eiche,オーク
schätzen,見積もる
genau,正確な
das Fell,毛皮
ebenfalls,同様に
orten,特定する
verbeugen,お辞儀する
akut,鋭い
schwören,誓う
gemahlen,すりつぶした
flüstern,ささやく
suchen,探す
entfernen,取り除く
versteckt,隠された
der Papagei,オウム
mutig,勇気のある
erkennen,検出する
demonstrieren,実証する
die Anwendung,応用
die Pumpe,ポンプ
der Tornado,竜巻
übersehen,見逃す
konsultieren,助言を求める
die Umsetzung,実行
heimsuchen,出没する
virtuell,仮想の
entsorgen,投棄する
kollabieren,崩壊する
fantastisch,とても素晴らしい
künstlich,人工的な
die Abwesenheit,欠席
die Angelegenheit,事件
die Chemie,化学
die Handtasche,財布
kochen,沸騰させる
ermitteln,調べる
besitzen,所有する
die Legende,伝説
beitragen,助ける
auftauchen,現れる
hauptsächlich,主な
die Venus,金星
ohnmächtig werden,卒倒する
verführen,誘惑する
das Engagement,献身
blühen,花が咲く
primär,主要な
markieren,印を付ける
lecken,なめる
ertragen,耐える
der gesunde Menschenverstand,常識
fördern,輸送する
kaum,ほとんど〜ない
das Joggen,ジョギング
beneiden,うらやむ
verbergen,隠す
weit verbreitet,広まった
fähig,容量のある
verwandeln,変形する
das Biest,獣
präzise,正確な
der Auslöser,引き金
verhungern,餓死する
schwanger,妊娠した
die Statue,像
die Akademie,学会
der Umfang,範囲
vorgeben,ふりをする
konventionell,型にはまった
der Aberglaube,迷信
die Schulden,負債
zeitgenössisch,当時の
der Status,地位
rational,合理的な
konsequent,首尾一貫した
die Verfassung,憲法
der Streit,口げんか
einzigartig,非凡な
scheiden,離婚する
die Grenze,国境
einreichen,提出する
verraten,裏切る
erfassen,捕える
sauer,酸の
das Porträt,肖像
dominieren,支配する
lächerlich,ばかげた
der Nebel,霧
ausschließen,除く
der Rand,余白
gegenteilig,反対に
zerstören,破壊する
gewähren,許可する
finanziell,財政上の
bereitwillig,たやすく
das Ziel,目標
die Kugel,球
trösten,慰める
rühren,かき混ぜる
das Nachwort,その後
begegnen,出会う
herausragend,傑出した
extern,外部
das Beispiel,例
der Deckel,ふた
reparieren,補修する
die Lunge,肺
temporär,一時的な
erhalten,得る
zielen,狙う
das Phänomen,現象
minimal,最小の
spektakulär,壮観な
die Prosa,散文
freilassen,放す
herrlich,素晴らしい
durchmachen,経験する
kühn,向う見ずな
prompt,迅速な
das Symptom,兆候
zerschmettern,粉砕する
klassifizieren,分類する
kooperieren,協力する
zivil,市民の
der Haufen,積み重ね
stutzen,刈り込む
wörtlich,文字通り
der Einbrecher,泥棒
der Boden,土壌
angemessen,適切な
verteilen,配る
detailliert,詳細な
radikal,急進的な
ständig,絶え間ない
anstarren,見つめる
die Seite,ページ
der Sarg,棺
heftig,激しい
die Überschwemmung,洪水
die Umlaufbahn,軌道
ankern,いかりを下ろす
außergewöhnlich,異常な
kichern,くすくす笑い
vermuten,怪しいと思う
kontinuierlich,継続した
beeinflussen,影響を及ぼす
die Priorität,優先度
ethnisch,民族の
die Tugend,徳
der Schuppen,小屋
eliminieren,排除する
stören,干渉する
aufrechterhalten,維持する
manuell,手動の
der Vertrag,条約
gewöhnlich,通常の
das Gericht,法廷
der Ehrgeiz,野心
der Fleiß,勤勉
das Temperament,気質
die Ökologie,生態系
kratzen,引っかく
amüsieren,楽しませる
konkret,具体的な
ersetzen,代える
verschieben,変わる
anerkennen,認める
anschwellen,腫れる
das Fragment,破片
die Disziplin,訓練
der Begriff,概念
der Buchhalter,会計係
der Kürbis,カボチャ
universell,普遍的な
pfeifen,口笛を吹く
der Feigling,憶病者
behaupten,断言する
grundlegend,基本の
die Ernährung,栄養
bitten,頼む
der Vertrag,契約
das Institut,研究所
abschaffen,廃止する
überwältigen,圧倒する
einreichen,提出する
das Intervall,間隔
verbieten,禁止する
das Zubehör,付属品
prachtvoll,壮大な
verwüsten,荒廃させる
zurücktreten,辞任する
vage,あいまいな
ewig,永遠の
vereinigen,統一する
sinken,沈む
injizieren,注射する
sicherstellen,保証する
zart,優しい
die Logik,論理
der Kandidat,候補者
beißen,かむ
vielfältig,多様な
verzweifelt,必死の
der Flüchtling,避難民
ausbrüten,孵化させる
der Ast,枝
die Folge,結論
gähnen,あくびする
anstarren,見つめる
die Hütte,小屋
blicken,ちらりと見る
potenziell,可能性のある
der Agent,代理店
regulieren,規制する
biegen,曲げる
die Wirtschaftswissenschaft,経済学
schlank,ほっそりした
der Cent,セント
die Wut,激怒
nachahmen,模倣する
der Erwerb,獲得
praktisch,実際の
die Kerze,ろうそく
kontrovers,論争的な
das Quaken,おしゃべり
zittern,震える
die Richtlinie,指針
intensiv,激しい
der Neffe,おい
lehnen,寄りかかる
die Tagesordnung,議事
reizen,いらいらさせる
bewundern,賞賛する
einstellen,雇う
weinen,泣く
atmen,息をする
qualifiziert,適任の
der Boden,底
rechtfertigen,正しいとする
ermöglichen,可能にする
entlassen,解雇する
überholen,追い越す
das Gelände,敷地
unwissend,無知の
vital,重要な
die Brise,そよ風
die Beschreibung,記述
die Gefahr,危険
der Kollege,同僚
die Entschuldigung,おわび
der Teil,部分
die Wahrnehmung,知覚
teilweise,一部分の
der Essay,エッセイ
intensiv,集中的な
dankbar,感謝に満ちた
das Reservat,保護区
inspizieren,調べる
übertreiben,誇張する
erschöpft,疲れ切った
die Aussicht,眺望
das Medium,中間
die Kapazität,容量
die Stirn,額
anweisen,指示する
der Daumen,親指
verpflichten,引き受ける
lebhaft,生き生きとした
lose,ゆるんだ
