英語フレーズ,日本語
pay a late fee,延滞料金を払う
accept an offer,オファーを受け入れる
prepare for an upcoming event,今度のイベントの準備をする
Haruki Murakami's latest novel,村上春樹の最新の小説
submit a report,レポートを提出する
use public transportation,公共の交通機関を利用する
send a r?sum?,履歴書を送る
a company executive,会社の重役
introduce a new line of products,新たな商品ラインを導入する
have no previous experience,以前の経験がない
review a proposal,提案に目を通す
office supplies,オフィス用品
My r?sum? is enclosed.,履歴書を同封いたします。
returns policy,返品規定
register for employee training,社員研修に登録する
arrange a meeting,会議の手配をする
receive a bill,請求書を受け取る
hire an assistant,アシスタントを雇う
approve a plan,計画を承認する
conduct a survey,アンケート調査を行う
an opportunity to work with you,あなたとお仕事をする機会
the deadline for the project,プロジェクトの締め切り
a corporate trainer,企業のトレーナー
a three-year warranty,3年保証
necessary forms,必要な用紙
reserve a room at a hotel,ホテルの部屋を予約する
local residents,地元の住民
create a new logo,新しいロゴを作り出す
We are happy to inform you that,～を知らせることができて嬉しい
allow customers to pay online,顧客がオンラインで支払うことを可能にする
What problem does the man mention?,男性はどんな問題について述べていますか。
I really appreciate your help.,助けて頂いて本当に感謝しています。
replacement parts,交換部品
traffic updates,交通の最新情報
open a new branch,新しい支店をオープンする
paid leave,有給休暇
"Unfortunately, there are some problems.",残念なことに、いくつか問題があります。
in original condition,元の状態で
a rent increase,家賃の値上げ
write a memo,社内文書を書く
shop for luggage,旅行かばんを買い求める
a newspaper editor,新聞の編集者
an art exhibition,美術展
a leading company,トップの会社
lead an organization,組織を率いる
release a new album,ニューアルバムを発売する
for a limited time,期間限定で
a normal procedure,通常の手続き
an experienced engineer,経験豊かなエンジニア
all company personnel,全社員
the author of a popular book,人気本の著者
employee benefits,従業員の福利厚生
focus on one point,1点に集中する
participate in the workshop,セミナーに参加する
the cause of the problem,問題の原因
a degree in journalism,ジャーナリズムの学位
purchase directly from a Web site,ホームページから直接購入する
the host of a television show,テレビ番組の司会者
an expert in the field,その分野の専門家
We were impressed by your knowledge.,我々はあなたの知識に感心した。
work mainly in the steel industry,主に鉄鋼業界で働く
make suggestions,提案を行う
relationships with suppliers,納入業者との関係
an important document,重要な書類
remind employees about the policy,従業員に規則に関して再確認する
Workers are required to wear uniforms.,作業員は制服の着用を求められます。
a sales representative,営業担当者
the packaging area,梱包エリア
a job description,職務内容の説明
a property manager,不動産の管理人
Call me at extension 4649.,内線4649にお電話ください。
inquire about a job,仕事について問い合わせる
display merchandise,商品を陳列する
a highly successful business,非常に成功しているビジネス
The campaign resulted in success.,そのキャンペーンは成功という結果になった。
Thank you for your assistance.,ご支援ありがとうございます。
Employees are encouraged to attend the event.,従業員がイベントに参加することを奨励します。
each individual in the company,会社の一人一人の個人
when entering the laboratory,研究所に入る時
consider working in Japan,日本での勤務を考える
move the headquarters to Boston,本社をボストンに移転する
We are ready to ship your order.,注文を出荷する準備ができました。
commercial buildings,商業ビル
a medical device,医療機器
For whom is the notice intended?,このお知らせは誰に向けられていますか。
a product brochure,製品パンフレット
by express mail,速達郵便で
I prefer to work part-time.,私はパートタイムで働く方が好きです。
I'm writing in response to your letter.,お手紙へのご返事です。
companies in the region,その地域の会社
donations to a museum,ミュージアムへの寄付
the third quarter,第3四半期
a rental agreement,賃貸契約書
a scientific journal,科学の専門誌
distribute a document,書類を配布する
potential customers,見込み客
reschedule an appointment,アポを予定変更する
renew a contract,契約を更新する
ship from a warehouse,倉庫から出荷する
a full refund,全額返金
What are listeners advised to do?,聞き手は何をするよう勧められていますか。
The tickets sold out immediately.,チケットは即売り切れた。
the city council,市議会
The program is usually broadcast on Saturdays.,その番組は通常土曜日に放送される。
I am responsible for training employees.,私は従業員の研修を担当している。
avoid wasting time,時間の無駄遣いを避ける
effective advertising campaigns,効果的な広告キャンペーン
receive an invitation,招待状を受け取る
reduce prices,値段を下げる
park a vehicle,乗り物を駐車する
efficient use of energy,エネルギーの効率的な使用
a car manufacturer,自動車メーカー
comfortable rooms and friendly staff,快適な部屋とフレンドリーなスタッフ
the correct address,正しい住所
downtown restaurants,中心街のレストラン
the method of payment,支払方法
the entire staff,全スタッフ
a wide range of services,広範囲のサービス
a hotel in a beautiful setting,美しい環境にあるホテル
We apologize for the inconvenience.,ご不便をおかけしますことをお詫びします。
frequent use of the Internet,インターネットのひんぱんな使用
Tex's promotion to sales manager,テックスの営業マネージャーへの昇進
regarding your order,あなたのご注文に関して
temporary workers,臨時雇いの従業員
traditional Italian dishes,伝統的なイタリア料理
Admission is free for all members.,メンバーは入場無料です。
The room can fit 50 people.,その部屋には50人が入る。
contact a reference,照会先に連絡を取る
shipment status,配送状況
fuel costs,燃料のコスト
nearly two years,2年近く
meet in the cafeteria for lunch,昼食のために社員食堂に集まる
determine how to sell the product,製品の売り方を決定する
travel expenses,出張経費
overseas markets,海外市場
I am fully satisfied with the service.,私はサービスに完全に満足しています。
Where would the article most likely appear?,この記事がもっとも掲載されそうなのはどこですか。
develop a plan,計画を作り出す
improve customer service,顧客サービスを改善する
a reasonable price,手ごろな値段
What is the man unable to do?,男性ができないことは何ですか。
All flights have been delayed.,すべての便が遅れています。
legal advice,法律に関するアドバイス
under the regulations,規制の下で
Our business is expanding.,当社の事業は拡大しています。
the launch of a new product,新商品の発売
a letter of recommendation,推薦状
Please direct any questions to me.,質問は私の方にしてください。
increase profits,利益を増やす
seek interns for the summer,夏期研修生を募集する
the winning entry,入賞したエントリー作品
file a claim,申し立てを行う
a repair crew,修理班
meet demand,需要を満たす
sales figures,売上数字
raise money for charity,慈善のためにお金を集める
I have attached my r?sum?.,履歴書を添付しました。
a way of attracting customers,お客様を引き付ける方法
provide health insurance for employees,社員に健康保険を提供する
the scheduled departure date,出発予定日
the mayor of Tex Town,テックス・タウンの町長
an account balance,口座残高
an estimate for the project,プロジェクトの見積もり
a commercial district,商業地区
a former employee,かつての社員
design a modern building,近代的な建物を設計する
tips on packing,荷づくりのコツ
establish a business,会社を設立する
an option to change the date,日付を変更する選択肢
retire after 20 years of service,20年の勤務の後、退職する
the search for the next president,次の社長探し
a specific example,具体的な例
agricultural technology,農業の技術
historical figures,歴史上の人物
I hope you find this information helpful.,この情報があなたの役に立つことを願っています。
complaints about the noise,騒音についての苦情
experience in a related field,関連分野での経験
Simply fill out the form below.,単純に以下の用紙にご記入ください。
offer a unique opportunity,他に類を見ない機会を提供する
any questions concerning the order,注文に関する質問
a well-deserved reputation,確固たる評判
ability to speak three languages,３か国語を話す能力
the time of arrival,到着時刻
I am familiar with the area.,私はその地域をよく知っています。
an ideal location,理想的な立地
maintain a Web site,ホームページを維持管理する
a landscaping company,造園会社
organize an event,イベントをとりまとめる
a significant increase in profits,かなりの利益増
a special occasion,特別な行事
safety standards,安全基準
an impressive educational background,優れた学歴
a guided tour,ガイド付きのツアー
advanced technology,先端（進んだ）技術
an alternative date,代わりの日
I'm confident that I can do it.,私にはそれができると自信があります。
over the past two decades,過去20年間に渡って
attend the initial training session,最初の研修に参加する
My order arrived in two separate shipments.,私の注文は2回の別々の配送で届いた。
the grand opening celebration,グランドオープンのお祝い
express concern,懸念を表す
work environment,職場環境
operate a machine safely,機械を安全に操作する
various designs and patterns,さまざまなデザインや柄
a brief report,短い報告書
full-time employees,常勤の社員
the overall budget,全体の予算
achieve a sales target,販売目標を達成する
pay on a monthly basis,月単位で支払う
a sports complex,スポーツの複合施設
We are delighted to see you.,お会いできてとてもうれしいです。
obtain information from the Internet,インターネットから情報を得る
honor an employee,社員を称える
properly trained staff,きちんと訓練されたスタッフ
suitable for outdoor use,アウトドア用に適した
personal electronic devices,個人用の電子機器
finalize a contract,契約を取りまとめる
a generous donation to a charity,慈善団体への寛大な寄付
in preparation for an event,イベントの準備のため
main duties of a teacher,教師の主な任務
earn the respect of people,人々の尊敬を得る
I am willing to work overseas.,私は海外で働く意思がある。
The book is worth reading.,その本は読む価値がある。
a project funded by the government,政府に資金提供されているプロジェクト
free overnight delivery,無料の翌日配送
particularly interested in history,歴史に特に興味がある
every aspect of a project,プロジェクトのすべての面
Please do not hesitate to contact us.,遠慮することなくご連絡ください。
I was not involved with the project.,私はそのプロジェクトに関わっていなかった。
a regularly updated list,定期的に更新されるリスト
apply for a scholarship,奨学金を申請する
The meeting will begin shortly.,会議はじきに始まります。
automobile manufacturing,自動車製造
a security deposit,安全保証金
The book contains useful information.,その本には役立つ情報が含まれている。
the contents of the book,その本の内容
proof of purchase,購入の証明
affect the price,値段に影響する
Our products are recognized for their quality.,当社製品は品質の高さで認められています。
represent a company,会社の代表を務める
Tex was transferred to Alaska.,テックスはアラスカに転勤になった。
celebrate the twentieth anniversary,20周年を祝う
The machine will automatically shut down.,その機械は自動的に電源が切れます。
production capacity,生産能力
travel destinations,旅行の目的地
obtain a grant,補助金を得る
publish a magazine,雑誌を出版する
The book is accompanied by a CD.,その本にはCDが付いてきます。
economic growth,経済成長
check extremely carefully,非常に丁寧にチェックする
a financial institution,金融機関
accurate sales figures,正確な売り上げの数字
compete with large companies,大会社と競う
emphasize a point,ポイントを強調する
I was aware of the problem.,私は問題に気付いていた。
The town is crowded with tourists.,町は旅行客で混雑している。
The team was praised by the CEO.,そのチームはCEOにほめられた。
a valuable addition to the team,チームの貴重な新戦力
explore the possibility,可能性を探る
found a company,会社を設立する
basic functions,基本機能
have a negative impact on the environment,環境にネガティブな影響を及ぼす
an amazing success,驚くべき成功
assure Tex that he will be promoted,テックスに彼が昇進することを保証する
Thank you for your cooperation.,ご協力ありがとうございます。
a rise in popularity,人気の上昇
a construction permit,建設許可証
solve a problem,問題を解決する
vote against a proposal,提案に反対票を投じる
locally grown crops,地元で育てられた作物
There are no hotels in this neighborhood.,この近所にはホテルがない。
the permanent exhibit,常設の展示物
We regret to inform you that,～をお知らせすることを残念に思います
slightly increased from 24 to 27 percent,24％から27％にわずかに増えた
The system is very complicated.,そのシステムはとても複雑だ。
various factors,さまざまな要因
favorable customer reviews,好意的な顧客のレビュー
guarantee same-day delivery,同日配送を保証する
due to mechanical trouble,機械のトラブルが原因で
a high priority,高い優先順位
relatively recent trend,比較的最近のトレンド
Water is an important natural resource.,水は貴重な天然資源だ。
free shuttle service,無料の送迎サービス
The catalog is divided into three sections.,カタログは3つのセクションに分かれています。
a singer native to the town,その町出身の歌手
We can't afford to do that.,我々にはそうする余裕がありません。
high income,高い収入
damage occurred during shipment,配送中に損傷が発生した
significant savings,大幅な値引き
research findings,調査でわかったこと
I was unable to locate the book.,私はその本を見つけることができなかった。
postpone a meeting,会議を延期する
preserve the environment,環境を保護する
prove to be difficult,難しいとわかる
I can't remember the exact date.,正確な日付は思い出せません。
gain popularity,人気を得る
labor costs,人件費
be widely regarded as,～と広くみなされる
work closely with local businesses,地元の会社と密に仕事をする
deserve a promotion,昇進に値する
identify problems,問題を特定する
loyal customers,常連の顧客
the most promising applicant,最も有望な候補者
stress the importance of reading,読書の重要性を強調する
analyze customer feedback,お客様の意見を分析する
The report was commissioned by Tex Corporation.,その報告書はテックス社からの委託を受けたものだ。
We are committed to providing quality service.,当社は質の高いサービスを提供することに熱心に取り組んでいます。
a cost comparison,コストの比較
electronic components,電子部品
enable staff to work from home,スタッフが自宅で仕事をすることを可能にする
an enjoyable stay at a hotel,ホテルでの楽しい滞在
existing customers,従来の顧客
post a flyer,チラシを掲示する
proceed to the boarding gate,搭乗口に進む
Tex prevented us from entering the room.,テックスは私たちが部屋に入るのを妨げた。
teachers and students alike,教師も生徒も同様に
I was appointed chairperson of the committee.,私は委員会の議長に指名された。
a high-speed Internet connection,高速インターネット接続
I am eager to learn new things.,私は新しいことを学びたいと熱望しています。
ease of use,使いやすさ
fairly common,かなり普通の
absolutely free of charge,完全に無料で
a warm atmosphere,温かい雰囲気
calculate delivery costs,配送料を計算する
in contrast to last year,昨年とは対照的に
monitor the quality of products,製品の品質を監視する
I occasionally travel abroad.,私は時々海外に出張する。
practical experience,実務の経験
a serious problem,重大な問題
the strength of materials,材料の強度
equally important,同じくらい重要な
imports from China,中国からの輸入品
an informal survey,非公式の調査
I haven't seen Tex lately.,最近テックスを見ていない。
Why did you choose this profession?,なぜあなたはこの職業を選んだのですか。
permission from a supervisor,上司の許可
ensure that the products are safe,製品が安全であることを保証する
hundreds of submissions from readers,読者からの何百もの提出物
notify employees of the change,従業員に変更を知らせる
I definitely need the item.,私は絶対にその品物が必要だ。
Employees are eligible to receive paid holidays.,社員は有給休暇を受け取る資格がある。
All the paperwork is ready.,すべての書類の準備ができています。
a complimentary breakfast,無料の朝食
revise a plan,計画を修正する
track an order,注文を追跡する
an administrative assistant,管理アシスタント
retail stores,小売店
reduce inventory,在庫を減らす
extensive analysis,詳細な分析
promotional materials,促進物
catering service,仕出しサービス
a wildlife photographer,野生動物の写真家
I have been assigned the work.,私はその仕事を任された。
What is implied about the hotel?,ホテルについて何がほのめかされていますか。
I am looking forward to the banquet.,私は夕食会を楽しみにしている。
valid until the end of May,5月末まで有効な
provide quality service at affordable prices,質の高いサービスを手頃な価格で提供する
a newly renovated library,新しく改装された図書館
follow industry guidelines,業界の指針に従う
a copy of the certificate,認定証の写し
an innovative technology,革新的な技術
the first item on the agenda,議題の最初の項目
assembly line workers,組立ラインの作業員
install a new printer,新しいプリンターを設置する
new employee orientation,新入社員向け説明会
a renowned scientist,名高い科学者
appropriate clothes for a job interview,面接に適した服装
use fresh ingredients,新鮮な材料を使う
a storage facility,貯蔵施設
serve food and beverages to guests,お客様に食事と飲み物を出す
prior to the meeting,ミーティングの前に
the upcoming merger with Tex Corporation,テックス車との近く行われる合併
a seaside inn,海辺の宿
Each room is equipped with Internet access.,それぞれの部屋にはインターネットが備わっています。
a brief summary,短い契約
a two-year lease,2年間の賃貸契約
return a defective product,欠陥のある製品を返品する
a quarterly magazine,季節詩（年に4回発行される雑誌）
an extended warranty,長期の保証
a famous architect,有名な建設家
a local grocery store,地元の食品雑貨店
a sculpture exhibition,彫刻展
send an itinerary,旅程表を送る
the company directory,社員名簿
My driver's license expires in April.,私の運転免許証は4月に期限が切れます。
negotiate with vendors,業者と交渉する
talk with a colleague,同僚と話をする
library patrons,図書館の愛用者
relocate an office,オフィスを移転する
tourism industry,観光産業
My office is being remodeled.,私のオフィスは改装中です。
consumer reports,消費者レポート
inspect a building,建物を検査する
I have eaten at numerous local restaurants.,私は、数多くの地元のレストランで食事をしたことがあります。
a new payroll system,新しい給与管理システム
I am qualified for the position.,私はその職に適任だ。
kitchen appliances,台所用電化製品
excellent service and competitive prices,優れたサービスと他に負けない価格
The company specializes in Web design.,その会社はウェブデザインを専門にしている。
fill out a questionnaire,アンケート用紙に記入する
approximately two hours,約2時間
contribute to a team,チームに貢献する
improve productivity,生産性を改善する
The meeting starts promptly at 1 P.M.,会議は午後1時にちょうど始まります。
a marketing strategy,マーケティング戦略
experienced and dedicated staff,経験豊富で献身的なスタッフ
exceptional customer service,並外れた顧客サービス
hold a luncheon,昼食会を開く
exceed expectations,期待を超える
operate in multiple countries,複数の国で営業する
the regulations clearly specify that,規則には?とはっきり記されている
a convention venue,会議の会場
household products,家庭用製品
evaluate a product,製品を評価する
negotiate with a client,顧客と交渉する
make a booking,予約をする
"a daily circulation of 30,000",1日3万の発行部数
the completion of the project,プロジェクトの完了
relevant work experience,関連した職務経験
a thorough review,徹底的な検討
fly to Seattle via Denver,デンバー経由でシアトルへ飛ぶ
relationships in the workplace,職場での人間関係
The price includes flights and accommodations.,料金には航空運賃と宿泊費が含まれています。
flexible work hours,フレックスタイム制
some experts predict that,数名の専門家は?と予測している
seat and meal preferences,座席と食事の希望
reduce costs by a substantial amount,かなりの額のコストを削減する
easily accessible by train,電車で簡単にいける
media coverage,メディアの報道
generate profits,利益を生み出す
Refreshments will be served.,軽食が出ます。
a reliable secretary,頼りになる秘書
advertising revenue,広告収入
the fund-raising dinner,資金集めの夕食会
an accomplished designer,熟練したデザイナー
acquire a company,会社を買収する
"The weather is cold, so dress accordingly.",気候が寒冷なので、それに応じた服を着てください。
positive reviews from critics,評論家からの好意的なレビュー
highlight differences,違いを強調する
profile a businessperson,ビジネスパーソンの人物紹介をする
motivate employees,社員をやる気にさせる
a magazine subscription,雑誌の購読
encounter a serious problem,重大な問題に直面する
a luxury sedan,高級セダン車
Street parking is prohibited in this area.,路上駐車はこの地域では禁止されています。
The problem was resolved.,問題は解決された。
Telephone service was restored this morning.,通話サービスは今日の午前中に復旧した。
surrounding areas,周辺の地域
alert Tex to the problem,テックスに問題を知らせる
the highly anticipated new book,非常に期待されている新刊
consistently rank among the top 10 universities,常にトップ10の大学にランクインしている
fat-free dairy products,無脂肪の乳製品
the first phase,第一段階
edit a manuscript,原稿を編集する
work a lot of overtime,長時間残業する
on the premises,敷地内で
The rent includes all utilities.,家賃にはすべての公共料金が含まれています。
a laundry room,洗濯部屋
I am enthusiastic about the project.,私はそのプロジェクトに乗り気です。
outline a policy,方針の概要を説明する
a packet of materials,袋入りの資料
retain a receipt,レシートを保管する
Make sure you have all your belongings.,所持品をお持ちかご確認ください。
energy conservation,エネルギーの節約
routine maintenance work,普段行われているメンテナンス作業
live in urban areas,都市部に住む
50 percent of the workforce,全従業員の50％
a brief biography of the author,著者の簡単な人物紹介（略歴）
The company has recently changed ownership.,その会社は最近、所有権が移転した。
a pastry chef,焼き菓子のシェフ
both building managers and tenants,建物の管理人も入居者も
reduce the workload,仕事量を減らす
sufficient time,十分な時間
main characteristics of the product,その製品の主な特徴
a combined effort,共同の努力
The event will conclude with a concert.,イベントはコンサートで締めくくられる予定です。
costs associated with buying a house,家の購入に関連したコスト
because of a scheduling conflict,スケジュールがかち合ったので
real estate investment,不動産投資
see a physician,医師に診てもらう
as a token of our appreciation for,～への我々の感謝の印として
a partial refund,部分返金
resume operations,操業を再開する
car dealerships,車の販売特約店
The garment is made of cotton.,その衣料品は綿製です。
Security measuers were implemented.,安全対策が実施された。
receive a paycheck,給料を受け取る
recruit new staff,新しいスタッフを採用する
substitute new for old,古いモノの代わりに新しいモノを使う
Our tours typically take an hour.,我々のツアーは通常1時間かかります。
an authorized dealer,公認の販売店
more expensive than comparable products,同等の製品より値段が高い
a faculty member at Tex College,テックス大学の教員
a growth initiative,成長のための新計画
Postage is calculated by weight.,郵便料金は重量で計算されます。
The author will sign books afterwards.,その後で著者が本にサインをします。
aim to cut energy use,エネルギーの使用を減らすことを目指す
The film received generally positive reviews.,その映画はおおむね良い評価を得た。
The room is occupied.,その部屋は使われている。
a solid reputation,確かな評判
Tex's attempt to become a singer,歌手になろうとするテックスの試み
the person in authority,権限を持った人
the domestic market,国内の市場
without permission,許可なしに
a strong presence in the area,地域での強い存在感
a rapidly growing company,急速に成長している会社
provide relief to consumers,消費者に安心感を与える
reward employees for their hard work,従業員のがんばりに報いる
translate English into Japanese,英語を日本語に翻訳する
under any circumstances,いかなる状況下でも
contrary to expectations,期待に反して
Mr. Kato was eventually promoted to CEO.,加藤さんは最終的にはCEOに昇進した。
be directly exposed to the sun,太陽に直接さらされる
a panel of experts,専門家グループ
the bottom portion of the ticket,チケットの下の部分
primary duties,主な任務
opening remarks,開会の言葉
in a timely manner,タイミングの良いやり方で
the most commonly used methods,最も一般的に用いられている方法
consult a doctor,医師に相談する
convert a warehouse into an office,倉庫をオフィスに改造する
You have no obligation to do so.,あなたにはそうする義務はない
resign without notice,予告なしに辞任する
The door is securely locked.,ドアにはしっかりと鍵がかかっている。
strive to cut costs,コスト削減のために懸命に努力する
a timeline of events,イベントの予定表
urge Tex to change his mind,テックスに考えを変えるよう強く促す
acknowledge receipt of the order,注文を受け取ったことを知らせる
a diverse group of experts,多種多様な専門家のグループ
a bank transaction,銀行取引
a lack of information,情報不足
Customer satisfaction is essential to us.,顧客満足が当社にとって最も重要です。
the majority of employees,従業員の大部分
observe a trend,傾向に気付く
possess knowledge,知識を持つ
Sales rose sharply.,売り上げが急激に上がった。
make adjustments to the plan,計画を調整する
I prefer an aisle seat.,通路側の席がいいです。
Photographs capture memorable moments in life.,写真は人生の思い出の瞬間を記録します。
The committee consists of five members.,委員会は5人のメンバーで構成されている。
Teaching experience is desirable.,指導経験があることが望ましい。
a heavily used bus route,非常に頻繁に使われるバスの路線
investigate a possibility,可能性を調査する
take the measurements of a table,テーブルの寸法を測る
an urgent request,緊急の依頼
the checkout counter,レジカウンター
dispose of garbage,ごみを処分する
modify a contract,契約を修正する
open an outlet in Japan,日本で店舗をオープンする
ask for a prescription,処方せんを依頼する
"Situated downtown, the hotel is convenient.",中心街に位置していて、そのホテルは便利だ。
"Surprisingly, Tex passed the exam.",驚いたことにテックスは試験に合格した。
transform a train station into a museum,電車の駅を博物館に一変させる
undergo major renovations,大規模な改装に入る
the blueprints for the new theater,新しい劇場の設計図
boost the company's profit,会社の利益を押し上げる
considerably lower prices,かなり安くなった価格
eliminate a risk,リスクを取り除く
available exclusively to our members,メンバー限定で利用できる
The pipe under the sink is leaking.,流しの下のパイプから水が漏れている。
preliminary results from a survey,調査の暫定結果
a sophisticated design,洗練されたデザイン
the most recent statistics,一番最近の統計
a vacant unit in an apartment building,欠員の アパートの空室
evidence of payment,支払いの証拠
a shopping excursion,買い物のお出かけ
influence a decision,結論に影響を与える
live in an ordinary house,普通の家に住む
reject a proposal,提案を却下する
tailor services to clients' needs,顧客のニーズにサービスを合わせる
assume responsibilities,職務を引き受ける
a previous engagement,前からの約束（先約）
achieve international fame,国際的な名声を得る
a modest increase in price,小幅の値上げ
apply for a patent,特許を出願する
The company is pursuing a new market.,その会社は新しい市場を追い求めている。
a remote mountain village,人里離れた山村
reveal the cause of the problem,問題の原因を明らかにする
a housing allowance,住宅手当
Innovation is crucial for business success.,技術革新は会社の成功に非常に重要だ。
a distinguished career as a journalist,ジャーナリストとしての際立って優れた経歴
I'm sorry to disturb you.,邪魔してすみません。
Applicants must be fluent in Mandarin.,応募者は北京語がペラペラでなければいけません。
fulfill requirements,必要条件を満たす
the objective of the survey,アンケート調査の目的
restrict employees from accessing the Internet,従業員がインターネットにアクセスすることを制限する
Sales have been increasing steadily.,売上は着実に伸びている。
an adequate explanation,十分な説明
the assessment of the value,価値の評価
Mr. Kato attributes his success to luck.,加藤さんは自分が成功したのは幸運のおかげだとしている。
prepare an agenda beforehand,前もってアジェンダを用意する
a challenging task,やりがいのある任務
Good luck in your future endeavors.,皆さんのこれからの努力が実ることを祈っています。
an inspiring speech,やる気の出るスピーチ
make remarkable progress,驚くべき進歩を遂げる
take safety measures,安全対策を講じる
The company is struggling to survive.,その会社は生き残るために奮闘している。
the wage level,賃金水準
adapt to a new work environment,新しい職場環境に適応する
set an ambitious goal,意欲的な目標を設定する
I am capable of doing the job.,私にはその仕事をする能力がある。
have serious consequences,深刻な結果を生む
impose a fee on customers,顧客に料金を科す
the former and the latter,前者と後者
the daily output of a factory,工場の1日の生産量
proudly announce,誇らしげに発表する
a stable supply of electricity,電気の安定した供給
the transition from school to work,学校生活から社会人生活への移行
without written consent,書面での同意なしに
produce dependable cars and trucks,信頼できる車とトラックを生産する
Mr. Kato is a diligent worker,加藤さんは勤勉な働き手だ。
illustrate a point,ポイントを説明する
work independently and as a team member,単独でもチームの一員としても働く
the company's mission,会社の使命
moderate exercise,適度な運動
the sales outlook,売り上げ見通し
rapidly and precisely,迅速かつ正確に
a concentrated effort,集中的な努力
The hotel has ample parking.,そのホテルには十分な駐車スペースがある
an asset to the team,チームにとっての財産
a controversial issue,議論を引き起こす問題
disappointing sales,期待はずれの売り上げ
Tex was instrumental in the project.,テックスはそのプロジェクトで重要な役割を果たした。
without interruption,中断なしに
from a broad perspective,幅広い観点から
the scope of the study,調査の範囲
speculation from industry experts,業界の専門家の推測
supplement income by writing books,収入を執筆で補う
We are really understaffed.,本当に人手不足です。
The CEO rarely appears in public.,そのCEOはめったに公に姿を見せない。
use caution,注意を払う
legislation to limit the use of drones,ドローンの使用を制限する法律
a logical choice,妥当な選択
a lumber business,製材業
the reverse side,裏側
Attendance is voluntary.,参加は任意です。
a construction contractor,建設請負業者
The company has an on-site childcare center.,会社には社内の託児所があります。
a comprehensive list of products,製品の総合的なリスト
confidential documents,機密書類
expertise in computer programming,コンピュータ・プログラミングの専門知識
one of Tokyo's premier restaurants,東京で最高のレストランの一つ
a souvenir shop,みやげ物店
rafting trips,川下りの旅
in the overhead compartment,頭上の収納スペース
check fabric samples,生地サンプルをチェックする
a spacious room,広々とした部屋
make upgrades to the air conditioning system,冷暖房システムを改良する
showcase new products,新製品を披露する
a commuter train,通勤者が乗る電車（通勤電車
enhance customer service,顧客サービスを高める
use a freight elevator,貨物エレベーターを使う
nominate a colleague for an award,同僚を賞に推薦する
a discontinued appliance,製造が終了した電化製品
a mentoring program,メンター制度プログラム
personalized service,個人に合わせたサービス
work at a pharmacy,薬局で働く
an excerpt from a meeting,会議の抜粋
publicize a book,本の宣伝をする
pay tuition fees,授業料を払う
in compliance with regulations,規則の順守
clarify the situation,状況をはっきりさせる
the municipal government,市政府
"Tex and Masaya, 16 and 18, respectively",テックスとマサヤ、それぞれ16歳と18歳
affordable yet durable,手ごろな価格だけれども耐久性がある
The tower is the town's landmark.,その塔は町の名所です。
Please include your portfolio.,作品集を添えて下さい。
recipients of the prize,賞の受賞者
a prototype of an aircraft,航空機の試作品
damage in transit,輸送中のダメージ
verify an account,アカウントを認証する
experience at a managerial level,管理職のレベルでの経験
culinary institute,料理学校
Formal attire is required in the office.,フォーマルな服装がオフィスでは必要です。
reimburse travel expenses,旅費を払い戻す
